source,target,trip_name,route_name
1031,7089,Newmarket To St Lukes Via Wellesley St,OUT
1031,7145,Middlemore Station To Britomart Via Greenlane Hospital,321
7089,1332,Newmarket To St Lukes Via Wellesley St,OUT
7089,7058,Lynfield To City Centre Via Dominion Rd,25L
1332,1090,Newmarket To St Lukes Via Wellesley St,OUT
1332,1088,Auckland Universities To Hibiscus Coast Stn,NX2
1090,7106,Newmarket To St Lukes Via Wellesley St,OUT
1090,7105,New Lynn To City Centre Via Sandingham Rd,24R
1090,1334,Glen Innes To Wynyard Quarter Via Remuera Rd,75
7106,7108,Newmarket To St Lukes Via Wellesley St,OUT
7106,1349,Freemans Bay Loop,106
7108,7110,Newmarket To St Lukes Via Wellesley St,OUT
7110,7112,Newmarket To St Lukes Via Wellesley St,OUT
7112,7114,Newmarket To St Lukes Via Wellesley St,OUT
7112,7223,Inner Link Anticlockwise (VP),INN
7114,7116,Newmarket To St Lukes Via Wellesley St,OUT
7116,7118,Newmarket To St Lukes Via Wellesley St,OUT
7118,7120,Newmarket To St Lukes Via Wellesley St,OUT
7120,7122,Newmarket To St Lukes Via Wellesley St,OUT
7122,8498,Newmarket To St Lukes Via Wellesley St,OUT
8498,8496,Newmarket To St Lukes Via Wellesley St,OUT
8496,8494,Newmarket To St Lukes Via Wellesley St,OUT
8494,8492,Newmarket To St Lukes Via Wellesley St,OUT
8492,1054,Newmarket To St Lukes Via Wellesley St,OUT
8492,8490,Westmere To Britomart Via Richmond Rd,105
1054,1056,Newmarket To St Lukes Via Wellesley St,OUT
1056,8011,Auckland University To Pt Chevalier Via Jervois Rd,101
1056,8014,Newmarket To St Lukes Via Wellesley St,OUT
8011,8009,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66
8009,8007,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66
8007,8005,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66
8005,8003,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66
8003,8001,Sylvia Park To Pt Chevalier Beach Via Mt Albert Rd,66
8000,8002,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
8002,8004,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
8004,8006,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
8006,8008,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
8008,8010,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
8010,1049,Pt Chevalier To Auckland University Via Jervois Rd,101
8010,8014,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,66
1049,1051,St Lukes To Newmarket Via Wellesley St,OUT
1051,8491,St Lukes To Newmarket Via Wellesley St,OUT
8491,8493,St Lukes To Newmarket Via Wellesley St,OUT
8493,8495,St Lukes To Newmarket Via Wellesley St,OUT
8495,8497,St Lukes To Newmarket Via Wellesley St,OUT
8497,7121,St Lukes To Newmarket Via Wellesley St,OUT
7121,7119,St Lukes To Newmarket Via Wellesley St,OUT
7119,7117,St Lukes To Newmarket Via Wellesley St,OUT
7117,7115,St Lukes To Newmarket Via Wellesley St,OUT
7115,7113,St Lukes To Newmarket Via Wellesley St,OUT
7113,7111,St Lukes To Newmarket Via Wellesley St,OUT
7111,7109,St Lukes To Newmarket Via Wellesley St,OUT
7109,7107,St Lukes To Newmarket Via Wellesley St,OUT
7109,1304,St Lukes To Wynyard Quarter Via Kingsland,20
7107,1079,St Lukes To Newmarket Via Wellesley St,OUT
7107,7142,Inner Link Clockwise (VP),INN
1079,1089,St Lukes To Newmarket Via Wellesley St,OUT
1089,1094,St Lukes To Newmarket Via Wellesley St,OUT
1089,7041,Hibiscus Coast Station To Auckland Universities,NX2
1094,7088,St Lukes To Newmarket Via Wellesley St,OUT
7088,7023,St Lukes To Newmarket Via Wellesley St,OUT
7088,7282,Wynyard Quarter To Glen Innes Via Remuera Rd,75
7023,1096,St Lukes To Newmarket Via Wellesley St,OUT
1096,7282,Britomart To Middlemore Station Via Greenlane Hospital,321
1096,7186,St Lukes To Newmarket Via Wellesley St,OUT
1005,7030,City Centre To Northwest Via Motorway,WX1
1005,7102,Freemans Bay Loop,106
7030,7082,City Centre To Northwest Via Motorway,WX1
7082,7084,City Centre To Northwest Via Motorway,WX1
7084,1524,City Centre To Northwest Via Motorway,WX1
1524,7134,Britomart To Westmere Via Richmond Rd,105
