stop_code,stop_name
8000,Coyle Park
8002,Johnstone Street
8004,Oliver Street
8006,Dignan Street
8008,Point Chevalier School
8010,Target Street
1049,Moa Road
1051,Meola Road/MOTAT
8491,Westmere Shops
8493,Kotare Avenue
8495,Cox's Bay Reserve
8497,Jervois Road
7121,Bayfield School
7119,Lawrence Street
7117,John Street
7115,St Stephen's Church
7113,Three Lamps
7111,Mercy Hospice
7109,Gudgeon Street
7107,Victoria Park Market
1079,Sale Street
1089,International Convention Centre
1094,Lorne Street
7088,Auckland Art Gallery
7023,University General Library
1096,University of Auckland
1031,University of Auckland
7089,AUT City Campus
1332,SkyCity Auckland
1090,Nelson Street
7106,Victoria Park Market
7108,Franklin Road
7110,England Street
7112,Mercy Hospice
7114,Three Lamps
7116,St Stephen's Church
7118,John Street
7120,Lawrence Street
7122,Bayfield School
8498,Jervois Road
8496,Cox's Bay Reserve
8494,Kotare Avenue
8492,Westmere Shops
1054,Meola Road/MOTAT
1056,Moa Road
8011,Target Street
8009,Point Chevalier School
8007,Dignan Street
8005,Oliver Street
8003,Johnstone Street
8001,Coyle Park
8490,Dorset Street
8488,Westmere School
8486,Garnet Road/Old Mill Road
8045,Francis Street
8482,Surrey Crescent/Old Mill Road
8899,Richmond Road
8087,West Lynn Shops
8085,Peel Street
8083,Woolworths Grey Lynn
8081,St Paul's College
8079,Richmond Road Shops
8077,Richmond Road School
8075,Fitzroy Street
7215,Ponsonby Road/Picton Street
7213,Ponsonby Road/Western Park
7211,Ponsonby Road/Karangahape Road
7135,Rainbow Bridge/Karangahape Road
7131,Karangahape Road/Queen Street
7061,Queen Street/Myers Park
7059,Auckland Town Hall
7053,Wellesley Street
1325,Te Komititanga
1005,Stop D Lower Albert
7030,Victoria Street West
7082,St Matthews-in-the-City
7084,Nicholas Street
1524,YMCA
7134,Rainbow Bridge/Karangahape Road
7212,Ponsonby Road/Karangahape Road
7214,Ponsonby Road/Western Park
8076,Ponsonby Road/Picton Street
8078,Leighton Street
1024,Richmond Road School
