source,target,route_id
8000,7821,65-202
8000,7238,66-203
1031,6505,321-202
1031,8029,OUT-202
8002,8099,65-202
8002,8004,66-203
7089,8019,OUT-202
8004,8016,65-202
8004,7303,66-203
1332,8017,OUT-202
1090,7105,24B-202
1090,7106,OUT-202
8006,8008,65-202
8006,1865,66-203
8008,8018,65-202
8008,1701,66-203
7106,8015,OUT-202
8010,7449,65-202
8010,8014,66-203
7108,7110,OUT-202
1049,7108,OUT-202
7110,1051,OUT-202
7112,8493,OUT-202
1051,8491,OUT-202
7114,7116,OUT-202
8491,7112,OUT-202
7116,8495,OUT-202
8493,7114,OUT-202
7118,8497,OUT-202
8495,7118,OUT-202
8497,7120,OUT-202
7120,7121,OUT-202
7121,7122,OUT-202
7122,7119,OUT-202
7119,7117,OUT-202
8498,7115,OUT-202
7117,8498,OUT-202
8496,8494,OUT-202
7115,8496,OUT-202
8494,7113,OUT-202
8492,7111,OUT-202
7113,8492,OUT-202
1054,7107,OUT-202
7111,7109,OUT-202
7109,1054,OUT-202
1056,1079,OUT-202
7107,1056,OUT-202
8011,8009,65-202
8011,7624,66-203
8009,8024,65-202
8009,1856,66-203
1079,8014,OUT-202
8007,8763,65-202
8007,8005,66-203
1089,8016,OUT-202
1094,7088,OUT-202
8005,8080,65-202
8005,7688,66-203
7088,8028,OUT-202
8003,8001,65-202
8003,7698,66-203
8001,7811,66-203
7023,8882,OUT-202
1096,7282,321-202
1096,7186,OUT-202
7030,5184,195-203
7082,7084,195-203
7084,5182,195-203
1524,5180,195-203
7212,5172,195-203
7212,4160,966-203
7214,7216,966-203
7215,7218,966-203
7213,4053,966-203
7211,5169,195-203
7211,4055,966-203
7135,5171,195-203
7135,4057,966-203
7131,4059,966-203
7059,5914,195-203
7136,7212,195-203
7136,7223,966-203
8118,8120,195-203
8120,5133,195-203
8122,5227,195-203
8122,7448,65-202
8124,8126,195-203
8124,7450,65-202
8126,5211,195-203
8126,8128,65-202
8131,5226,195-203
8131,7447,65-202
8129,5240,195-203
8129,7445,65-202
8128,5209,195-203
8128,7452,65-202
8127,8125,195-203
8127,7443,65-202
8130,1631,195-203
8130,8019,65-202
8125,5242,195-203
8125,1846,65-202
8123,5142,195-203
8121,5138,195-203
8119,8117,195-203
8117,5136,195-203
7133,5173,195-203
3355,3093,83-203
3221,4259,83-203
4222,3116,83-203
3219,3110,83-203
4227,3190,83-203
4227,3152,856-203
4299,3039,83-203
4260,3192,83-203
3742,3194,83-203
3587,3156,83-203
3586,3173,83-203
4245,3114,83-203
4246,3118,83-203
3589,3098,83-203
3588,3306,83-203
4315,3355,83-203
4259,3048,83-203
3744,3097,83-203
4982,4702,982-221
4982,4713,983-221
5914,7053,195-203
5906,1775,67A-202
1546,7952,67A-202
5779,1356,67A-202
8151,1869,67A-202
1869,7645,67A-202
8149,8539,67A-202
8146,1862,67A-202
1862,1350,67A-202
8148,7025,67A-202
5814,1559,67A-202
1559,1771,67A-202
5910,1642,195-203
1642,7030,195-203
1643,7059,195-203
1004,5910,195-203
8141,7138,195-203
8139,7126,195-203
8137,1656,195-203
8133,1658,195-203
8132,8134,195-203
8134,8997,195-203
8136,8995,195-203
8138,8355,195-203
7065,1643,195-203
5172,5170,195-203
5170,8886,195-203
8907,7143,24B-202
8905,7069,24B-202
8903,7040,24B-202
7029,1090,24B-202
8353,8330,195-203
8353,7033,24B-202
8351,8332,195-203
8539,1737,67A-202
8537,7641,67A-202
8334,8336,195-203
8334,1335,67A-202
8242,7634,67A-202
8331,8329,195-203
8331,1352,67A-202
8243,7637,67A-202
8534,7636,67A-202
1456,1348,67A-202
8354,8331,195-203
8356,8327,195-203
8356,5908,24B-202
8900,1083,24B-202
8902,8368,24B-202
8904,8370,24B-202
8906,7162,24B-202
5184,7082,195-203
5182,1524,195-203
5180,5178,195-203
5178,7136,195-203
8886,1648,195-203
1648,8888,195-203
8888,8890,195-203
8890,1650,195-203
1650,5127,195-203
5127,8892,195-203
8892,1635,195-203
1635,8894,195-203
8894,5131,195-203
5131,8118,195-203
5133,8122,195-203
5227,5269,195-203
5269,8124,195-203
5211,8128,195-203
5209,8130,195-203
1633,8132,195-203
8997,8136,195-203
8995,1619,195-203
1619,8138,195-203
8355,8328,195-203
8328,8353,195-203
8330,8351,195-203
8332,8347,195-203
8347,8334,195-203
8336,8345,195-203
8345,8343,195-203
8343,8338,195-203
8338,8340,195-203
8340,8341,195-203
8341,8342,195-203
8342,8339,195-203
8339,8337,195-203
8337,8346,195-203
8346,8335,195-203
8335,8348,195-203
8348,8333,195-203
8333,8350,195-203
8350,8354,195-203
8329,8356,195-203
8327,8584,195-203
8584,8141,195-203
7138,8139,195-203
7126,8137,195-203
1656,8133,195-203
1658,5224,195-203
5224,8131,195-203
5226,8129,195-203
5240,8127,195-203
5242,5144,195-203
5144,8123,195-203
5142,8121,195-203
5138,8119,195-203
5136,8897,195-203
8897,5134,195-203
5134,1649,195-203
1649,8895,195-203
8895,8893,195-203
8893,1651,195-203
1651,8891,195-203
8891,5159,195-203
5159,5161,195-203
5161,8889,195-203
8889,5165,195-203
5165,7211,195-203
5169,7135,195-203
5171,7133,195-203
5173,7065,195-203
7223,7212,966-203
7221,4045,966-203
7219,7214,966-203
7217,4162,966-203
7216,7217,966-203
7218,7220,966-203
7220,7213,966-203
7222,7211,966-203
8863,7439,65-202
8863,8044,OUT-202
8222,8224,OUT-202
8224,7195,OUT-202
8226,7193,OUT-202
8229,7192,OUT-202
8227,7194,OUT-202
8225,7198,OUT-202
1095,8900,24B-202
1083,1466,24B-202
7039,8904,24B-202
7154,8906,24B-202
7154,1941,72X-205
7162,8372,24B-202
7166,8293,24B-202
8200,1767,24B-202
8202,8279,24B-202
8204,8277,24B-202
8208,8272,24B-202
1881,7440,65-202
1881,7199,OUT-202
8868,1845,65-202
8868,7197,OUT-202
8207,8278,24B-202
8205,8280,24B-202
8203,1720,24B-202
8201,8296,24B-202
7151,8298,24B-202
7151,6596,309-221
7149,8907,24B-202
7149,6204,72X-205
7143,8905,24B-202
7069,8903,24B-202
7040,7029,24B-202
7105,8353,24B-202
1053,8364,24B-202
8364,1095,24B-202
1466,8902,24B-202
8368,7039,24B-202
8370,7154,24B-202
8372,8295,24B-202
8295,7166,24B-202
8293,8200,24B-202
1767,8202,24B-202
8279,8204,24B-202
8277,8208,24B-202
8272,7288,24B-202
7288,8274,24B-202
8274,8265,24B-202
8265,8300,24B-202
8265,8167,67A-202
8300,1406,24B-202
1406,8325,24B-202
8325,8306,24B-202
8306,8323,24B-202
8323,8308,24B-202
8308,8321,24B-202
8321,8310,24B-202
8310,8319,24B-202
8319,8312,24B-202
8312,8317,24B-202
8317,8314,24B-202
8314,8315,24B-202
8313,8316,24B-202
8316,8318,24B-202
8318,8311,24B-202
8311,8320,24B-202
8320,8309,24B-202
8309,8322,24B-202
8322,8307,24B-202
8307,8324,24B-202
8324,8305,24B-202
8305,8326,24B-202
8326,8303,24B-202
8303,8266,24B-202
8266,7167,24B-202
8266,8164,67A-202
7167,8273,24B-202
8273,8301,24B-202
